rank,graph6,n,edges,alpha,theta_hi,delta_hi,theta_bulk,solver_diff,pr_hi,status_hi,chi_comp
686,JCRbdO{^f|_,11,30,3,3.6666666800,0.6666666800,3.6666667093,2.931e-08,2.495e-09,optimal,4
687,JCRbdO{^f}?,11,29,3,3.6666666799,0.6666666799,3.6666667127,3.276e-08,1.469e-09,optimal,4
688,JCRbdO{v`n_,11,28,3,3.6666666799,0.6666666799,3.6666666832,3.318e-09,2.115e-09,optimal,4
689,JCRbdO{xf}_,11,29,3,3.6666666799,0.6666666799,3.6666666809,9.651e-10,1.376e-09,optimal,4
690,JCQeV`[Mfv?,11,27,3,3.6666666799,0.6666666799,3.6666666956,1.577e-08,2.081e-09,optimal,4
691,JCRbdQyss}?,11,27,3,3.6666666799,0.6666666799,3.6666666964,1.649e-08,1.394e-09,optimal,4
692,JCQ`fP[rfe_,11,26,3,3.6666666796,0.6666666796,3.6666666829,3.278e-09,1.425e-09,optimal,4
693,JCRbdO{lN^?,11,28,3,3.6666666796,0.6666666796,3.6666666856,5.970e-09,1.367e-09,optimal,4
694,JCQbeekNVI_,11,26,3,3.6666666795,0.6666666795,3.6666666793,1.918e-10,1.225e-09,optimal,4
695,JCRbcqhNR{?,11,26,3,3.6666666795,0.6666666795,3.6666666832,3.667e-09,1.338e-09,optimal,4
696,JCQeV`[Mef_,11,26,3,3.6666666795,0.6666666795,3.6666666889,9.370e-09,1.645e-09,optimal,4
697,JCRbdO{^fV_,11,29,3,3.6666666794,0.6666666794,3.6666666875,8.028e-09,1.585e-09,optimal,4
698,JCQbfP[rdZ?,11,26,3,3.6666666794,0.6666666794,3.6666666793,1.245e-10,1.700e-09,optimal,4
699,JCRbdO{}fy_,11,29,3,3.6666666794,0.6666666794,3.6666666801,7.064e-10,1.439e-09,optimal,4
700,JCRbdO{^fr?,11,28,3,3.6666666792,0.6666666792,3.6666666822,2.988e-09,1.626e-09,optimal,4
701,JCRbdO{v`v?,11,27,3,3.6666666791,0.6666666791,3.6666666793,1.901e-10,1.347e-09,optimal,4
702,JCRbdO{xef?,11,26,3,3.6666666791,0.6666666791,3.6666666843,5.208e-09,1.262e-09,optimal,4
703,JCRbdO{{f}?,11,28,3,3.6666666791,0.6666666791,3.6666666801,1.034e-09,1.514e-09,optimal,4
704,JCQbeTwJq{_,11,26,3,3.6666666791,0.6666666791,3.6666666880,8.925e-09,1.457e-09,optimal,4
705,JCRbdO{}e^_,11,29,3,3.6666666791,0.6666666791,3.6666666786,4.680e-10,2.212e-09,optimal,4
706,JCRbdO{znz_,11,31,3,3.6666666791,0.6666666791,3.6666666799,8.555e-10,1.624e-09,optimal,4
707,JCRbdO{xfv_,11,29,3,3.6666666790,0.6666666790,3.6666666803,1.260e-09,1.318e-09,optimal,4
