G?AF~w,8,13,5,5.0000000367885065,3.6788506463381054e-08,True,5,0.0006598620093427598,solved,2.2235389942287816e-09
G?AF~{,8,14,5,5.0000000043752175,4.37521752161274e-09,True,5,0.0005445410206448287,solved,6.017769206303887e-10
G?B@_[,8,7,5,5.000000015127026,1.5127025854155818e-08,True,5,0.0021666690008714795,solved,6.506350380553999e-09
G?B@`W,8,7,5,4.9999999986900505,-1.309949482219963e-09,True,5,0.0012439669808372855,solved,1.159337691547155e-10
G?B@`w,8,8,5,4.9999999995164535,-4.835465361452407e-10,True,5,0.0018470229988452047,solved,5.709028766466931e-10
G?B@c[,8,8,5,5.000000008086648,8.086647795835233e-09,True,5,0.0012091170065104961,solved,1.075034390673315e-09
G?B@dO,8,7,5,5.000000010456796,1.0456796317726003e-08,True,5,0.0012277789937797934,solved,5.186712040207638e-10
G?B@dW,8,8,5,5.00000001134853,1.1348530115640187e-08,True,5,0.0012397009995765984,solved,2.015086916460463e-09
G?B@d[,8,9,5,5.000000017746996,1.774699587286932e-08,True,5,0.0012463309976737946,solved,1.37646367534103e-09
G?B@dw,8,9,5,5.000000025027906,2.5027905969920994e-08,True,5,0.0012118559970986098,solved,1.4007513979905903e-09
G?B@e[,8,9,5,5.000000014804246,1.4804245829225238e-08,True,5,0.0014454929914791137,solved,1.1303429122370645e-09
G?B@fO,8,8,5,5.000000005448349,5.448349327252799e-09,True,5,0.0012454550014808774,solved,1.0322595029524927e-09
G?B@fW,8,9,5,5.000000025922859,2.592285941460659e-08,True,5,0.0012995150173082948,solved,2.5287988095299803e-09
G?B@f[,8,10,5,5.00000001444834,1.4448340301953522e-08,True,5,0.0012350599863566458,solved,1.1294114218203258e-09
G?B@fo,8,9,5,5.000000003489802,3.4898022249763017e-09,True,5,0.0018831539782695472,solved,3.3826920798032336e-10
G?B@fw,8,10,5,4.999999956172957,-4.38270433278376e-08,True,5,0.001479186990763992,solved,2.8185127960723555e-10
G?B@f{,8,11,5,4.999999998566062,-1.4339383014316809e-09,True,5,0.0013396359863691032,solved,5.221271929581353e-10
G?B@hw,8,9,5,4.999999993466208,-6.5337921739683225e-09,True,5,0.0015060190053191036,solved,4.283240429003854e-13
G?B@lW,8,9,5,5.000000025444253,2.5444252926831723e-08,True,5,0.0012384250003378838,solved,1.1084590610700972e-09
G?B@l[,8,10,5,5.000000000142569,1.425686235734247e-10,True,5,0.0010649719915818423,solved,6.514623098111401e-10
G?B@lw,8,10,5,5.000000001632663,1.6326628937690657e-09,True,5,0.0012134599965065718,solved,8.430372674317859e-11
G?B@mW,8,9,5,5.000000000825936,8.259357642259602e-10,True,5,0.0014845490222796798,solved,6.269465402858592e-10
G?B@m[,8,10,5,4.999999949335123,-5.066487673843767e-08,True,5,0.001313877000939101,solved,5.6815663285192386e-12
G?B@nO,8,9,5,4.999999995307387,-4.692613408963098e-09,False,5,0.0018420300038997084,solved,1.501839968008801e-11
G?B@nW,8,10,5,5.00000001814672,1.8146719682476942e-08,True,5,0.0020071880135219544,solved,1.0695584465891661e-09
G?B@n[,8,11,5,5.0000000027150815,2.71508149296551e-09,True,5,0.001972370984731242,solved,1.9028444049462313e-10
