graph6,n,edges,alpha,theta,delta,perfect,chi_comp,solve_time,status,pr
FCvew,7,12,3,2.9999999883553308,-1.1644669228871862e-08,True,3,0.001232867012731731,solved,3.048450381015755e-12
FCvfG,7,11,3,2.9999999970746964,-2.9253035549459128e-09,True,3,0.0014108539908193052,solved,1.411445531170468e-10
FCvfO,7,11,3,3.00000000333786,3.3378602104505717e-09,True,3,0.0015686989936511964,solved,1.0345597841093126e-09
FCvfW,7,12,3,2.9999999988606767,-1.1393233023682114e-09,True,3,0.0015323570114560425,solved,1.9850221844911395e-10
FCvfg,7,12,3,2.999999992089394,-7.91060594806936e-09,True,3,0.0013849280076101422,solved,1.2867484855405564e-12
FCvfo,7,12,3,2.99999999251438,-7.485620123759418e-09,True,3,0.001409197982866317,solved,1.2172485241990216e-12
FCvfw,7,13,3,2.999999998310494,-1.6895058685406639e-09,True,3,0.0011878200166393071,solved,4.5363712786183896e-13
FCvtw,7,13,3,2.9999999972548803,-2.745119687119768e-09,True,3,0.0009532650001347065,solved,5.163172833999459e-10
FCvvg,7,13,3,3.0000000073866384,7.386638412043567e-09,True,3,0.0008372380107175559,solved,1.7809261034269195e-09
FCvvo,7,13,3,2.9999999971709355,-2.829064538190096e-09,True,3,0.0009360850090160966,solved,5.267238741495149e-10
FCvvw,7,14,3,2.9999999674144515,-3.2585548481733895e-08,True,3,0.0007280099962372333,solved,5.551670234638095e-12
FCv~w,7,15,3,3.000000006262656,6.262656171429626e-09,True,3,0.0006220469949766994,solved,7.315178638715665e-10
FCxrW,7,11,3,2.999999975420883,-2.4579116963963088e-08,False,3,0.1005153089936357,solved,8.509960969862841e-09
