rank,graph6,n,edges,alpha,theta_hi,delta_hi,theta_bulk,solver_diff,pr_hi,status_hi,perfect,chi_comp
292,HCrbbri,9,18,3,3.3722813308,0.3722813308,3.372281365558377,3.479e-08,9.030e-10,optimal,False,4
293,HCQe`rl,9,16,3,3.3722813308,0.3722813308,3.3722813324606693,1.707e-09,1.371e-09,optimal,False,4
294,HCRb`z[,9,17,3,3.3722813306,0.3722813306,3.3722813256131343,4.967e-09,1.455e-09,optimal,False,4
295,HCQe`r},9,17,3,3.3722813306,0.3722813306,3.3722813187409537,1.182e-08,1.212e-09,optimal,False,4
296,HCRb`z],9,18,3,3.3722813306,0.3722813306,3.3722813143582546,1.619e-08,8.560e-10,optimal,False,4
297,HCQe`q{,9,15,3,3.3722813305,0.3722813305,3.3722813347067153,4.166e-09,1.065e-09,optimal,False,4
298,HCQv@qm,9,16,3,3.3722813305,0.3722813305,3.3722813317062723,1.181e-09,8.862e-10,optimal,False,4
299,HCQe`pt,9,15,3,3.3722813305,0.3722813305,3.372281322869752,7.589e-09,1.219e-09,optimal,False,4
300,HCRb`z\,9,18,3,3.3722813304,0.3722813304,3.372281323839893,6.538e-09,9.008e-10,optimal,False,4
301,HCQbdrx,9,17,3,3.3722813303,0.3722813303,3.372281326886214,3.371e-09,1.109e-09,optimal,False,4
302,HCQbRay,9,15,3,3.3722813301,0.3722813301,3.372281331391873,1.329e-09,7.489e-10,optimal,False,4
303,HCRV@rk,9,16,3,3.3722813300,0.3722813300,3.372281327072802,2.915e-09,1.573e-09,optimal,False,4
304,HCQbdrz,9,18,3,3.3722813296,0.3722813296,3.3722813157853477,1.384e-08,8.317e-10,optimal,False,4
305,HCQbdK|,9,16,3,3.3722813293,0.3722813293,3.372281331364359,2.030e-09,1.020e-09,optimal,False,4
306,HCRbfRM,9,17,3,3.3722813293,0.3722813293,3.3722813261194973,3.153e-09,7.307e-10,optimal,False,4
307,HCQbdc|,9,16,3,3.3722813291,0.3722813291,3.3722813279150157,1.171e-09,1.130e-09,optimal,False,4
308,HCQbdqm,9,16,3,3.3722813291,0.3722813291,3.3722813270860064,1.967e-09,1.350e-09,optimal,False,4
309,HCQe`ru,9,16,3,3.3722813290,0.3722813290,3.372281335644853,6.625e-09,2.348e-09,optimal,False,4
310,HCRVDZw,9,17,3,3.3722813290,0.3722813290,3.372281326909595,2.107e-09,1.771e-09,optimal,False,4
311,HCQbRpq,9,15,3,3.3722813290,0.3722813290,3.3722813305394164,1.579e-09,5.539e-10,optimal,False,4
